Informativní seznam;;;;;;;;;;;;;;;;
Název soutěže;Pořadatel;Stručná anotace soutěže;Ročník ;Typ soutěže;Termín konání okresního kola soutěže;Termín konání krajského kola soutěže;Termín konání ústředního kola soutěže;Mezinárodní nadstavba;Byla soutěž podpořena alespoň v jednom roce v období 2021-2025?;Popis jak soutěž zohledňuje probíhající revizi RVP.;Kontaktní osoba (garant soutěže) ;Telefonní číslo;Email;Název pracoviště;Adresa pracoviště;Webové stránky soutěže
CIMF - Creative InnoMind Festival;Český spolek pro podporu mládeže InnoMind, z. .s.;Projektová soutěž žáků 2. stupně ZŠ (kategorie JUNIOR) a SŠ (kategorie STŘEDOŠKOLÁL) se strukturou školních, okresních, krajských a celostátního kola. Oborově není nijak pevně omezena. Vyšli jsme ze soutěže Expo Science AMAVET, kdy jsme dlouhodobě spolupracovali s panem Medřickým. Chování pana Medřického však již překročilo únosnou mez a v Pardubickém kraji jsme v letošním roce již soutěž zrealizovali samostatně (2 okresní a jedno krajské kolo). Pardubický kraj však končí s podporou na úrovni kraje a soutěž, která by končila pouze na krajské úrovni nemá pro středoškoláky smysl. Proto jsme založili spolek, který se bude starat o celostátní úroveň soutěže a její návaznost na mezinárodní soutěže. V příštím roce se k našemu modelu již připojuje Královéhradecký kraj (domluveno s krajským úřadem i Univerzitou Hradec Králové) a jednáme s Libereckým krajem. Zároveň připravujeme jednání s předsedou Akademie věd ČR o organizaci celostátního kola v Praze.;2;oborová;únor 2026;březen 2026;duben 2026;Ano;Ne;soutěž se orientuje na prezentaci projektové práce;Ing. Jiří formánek;605 330 520;jiri.formanek@cimf.cz;DELTA - Střední škola informatiky a ekonomie, s. r. o.;Ke Kamenci 151, 530 03 Pardubice;https://cimf.cz
Chemiklání 2026 - 11. ročník;Alumni scientiae Bojemicae, z. s. ;"Chemiklání je jednodenní soutěž určená pro 3-5členné týmy středoškoláků se zájmem o chemii pořádaná spolkem Alumni scientiae bohemicae a Fakultou chemicko-technologickou Univerzity Pardubice. Týmy budou řešit soubor teoretických úloh na čas; tým, který jich vyřeší nejvíce, vyhraje. Soutěžící jsou rozděleni do dvou kategorií: kategorie B pro mladší (1. a 2. ročníky SŠ) a nejvyšší kategorie A (pro všechny ročníky SŠ). Soutěž má pouze jedno prezenční kolo v Pardubicích. O přijetí týmů rozhoduje úspěšnost řešení několika jednoduchých úloh v přihlášce a v případě nerozhodnosti čas odeslání přihlášky. Vítězové obdrží věcné ceny a stipendium na chemické obory Univerzity Pardubice.";11;oborová;x;x;2. února 2026;Ne;Ano;"Úlohy jsou koncipovány tak, aby testovaly očekávané výstupy podle RVP v dané oblasti chemie s částečným přesahem do dalších přírodovědných oborů. Vzhledem k tomu, že hlavním záměrem soutěže není testovat encyklopedické znalosti účastníků, ale prověřit schopnost žáků aplikovat nabyté poznatky na neotřelé problémy, je jim proto umožněno využívat po celou dobu soutěže vlastní nebo zapůjčenou literaturu, čímž je testována I schopnost soutěžících pracovat s textem. V případě online konání budou student dále rozvíjet své schopnosti orientace v textu a pokročilém vyhledávání při využití online zdrojů. Nejpokročilejší třetina úloh přesahuje záběr učiva probíraného v rámci výuky na středních školách; zařazení těchto úloh umožňuje rozlišit nejschopnější týmy studentů, kteří umí přemýšlet o chemické tematice nad rámec vzdělávacího programu (typicky úspěšní řešitelé celostátních kol předmětových olympiád). Tímto způsobem je tak zajištěna návaznost na RVP programy, jelikož je především podporována schopnost analyzování a řešení problémů v kolektivu, což je jeden z předpokladů pro případnou další vědeckou práci, do které by se účastníci mohli v následujících letech zapojit. Úlohy procházejí důkladnou pedagogickou recenzí, která slouží k jejich propojení s obsahem RVP.";Ing. Jan Hrubeš, Dis.;608 825 687;janhrubes@outlook.com;PřF UK;Albertov 2038, 128 00 Praha - Nové Město;www.chemiklani.cz
Hledáme nejlepšího Mladého chemika ČR;Svaz chemického průmyslu České republiky, z. s.;Cílem soutěže je rozvíjet tvůrčí schopnosti žáků 8. a 9. tříd základních škol, představit chemii jako vědu hravou a zábavnou, praktickou i poetickou, jako disciplínu, která má budoucnost, protože skýtá široké možnosti studijního i pracovního uplatnění. Soutěž je zahájena na podzim každého roku a probíhá v okresech, krajích a regionech za finanční podpory společností chemického průmyslu v daných regionech, kdy první kolo se pořádá v okresech na základních školách, druhé a třetí kolo pak na regionálních odborných středních školách pro postupující z prvních kol. Nejvýše umístění soutěžící regionálních kol postupují do čtvrtého kola - celostátního finále - celkem je 42 finalistů. Pořadateli a organizátory regionálních kol jsou střední odborné školy za finančního přispění firem chemického průmyslu v daných regionech Zadání teoretické a praktické části soutěžních kol tvoří střední škola, která je každoročně losována na koordinační schůzce organizátorů regionálních kol a celostátního finále. Finále se odehrává v červnu následujícího roku na Fakultě chemicko-technologické Univerzity Pardubice, která je tvůrcem zadání teoretické a praktické části. Finalisté se formou testu a praktické zkoušky v laboratoři utkají o pomyslný titul Nejlepšího Mladého chemika ČR. Soutěž má vysokou úroveň a popularitu, mediálně ji podporuje např. i Česká televize. Mezi hosty předávajícími ceny při vyhlašování výsledků celostátního finále dosud nechyběli mimo jiných představitelé MŠMT, MPSV a MPO.;14;oborová;říjen - listopad 2025;listopad - prosinec 2025;červen 2026;Ne;Ano;Soutěž podporuje výuku základních znalostí chemie a její hlubší pochopení, což dle současného moderního pojetí oborové didaktiky je nezbytný předpoklad pro budování kompetencí, které jsou součástí revidovaného RVP ZV.;Dr. Ing. Jan Kvarda;739 463 499;jan.kvarda@schprcr.cz;Svaz chemického průmyslu České republiky, z. s.;Rubeška 393/7, Praha 9, 190 00;www.mladychemikcr.cz
VEX Robotics Competition;AV MEDIA SYSTEMS, a. s.;Soutěž VEX Robotics Competition je mezinárodní robotická soutěž pro žáky základních i středních škol, která rozvíjí algoritmické myšlení, týmovou spolupráci a zájem o technologie. Úkolem týmů je navrhnout, postavit a naprogramovat robota z VEX robotické stavebnice tak, aby plnil zadané úkoly na soutěžním poli. Soutěž podporuje praktické učení STEM dovedností a motivuje žáky k objevování světa robotiky. VEX IQ pro žáky do 15 let VEX VRC pro žáky do 19 let;8;oborová;x;listopad 2025 - květen 2026;leden 2026;Ano;Ne;Soutěž VEX plně podporuje cíle revidovaného RVP ZV, zejména v oblasti rozvoje informatického myšlení, digitálních kompetencí a praktického využití technologií. Umožňuje žákům aplikovat principy algoritmizace, programování a konstrukce robotů v reálném kontextu. Soutěž rozvíjí i měkké dovednosti jako je spolupráce, komunikace, kritické myšlení a řešení problémů.;Anotnín Růžička;261 260 218;soutezevex@avmedia.cz;AV MEDIA SYSTEMS, a. s.;Pražská 63, Praha 10;www.soutezevex.cz
62. Chemická olympiáda 2026;Vysoká škola chemicko-technologická v Praze;Předmětová soutěž pro žáky základních a středních škol.;62;oborová;prosinec 2025 - březen 2026;leden 2026-duben 2026;leden 2026 - květen 2026;Ano;Ano;Soutěž navazuje zejména na oblast RVP Člověk a příroda a v rámci této oblasti pak zejména na obor chemie. Důraz je kladen na průřezová témata a mezioborové vztahy k dalším přírodním vědám, zejména k fyzice, biologii a geologii.;Ing. Petra Méneová, PhD.;220 443 688;Petra.Meneova@vscht.cz;VŠCHT Praha;Technická 5, 160 00 Praha 6 - Dejvice;https://olympiada.vscht.cz/cs/
Ekotým 2026;Gymnázium a obchodní akademie Mariánské Lázně, příspěvková organizace;Jedná se o krajskou soutěž určenou tříčleným týmům žáků, kteří studují obory obchodní akademie. Předmětem je uspět ve dvou částech soutěže a to v testu ( ekonomika, účetnictví, právo a informační technologie) a prezentace předem neznámého tématu s ekonomickým zaměřením.;23;oborová;x;do září 2026;zima 2026;Ne;Ne;Soutěž komplexně proveřuje nabité znalosti a zkušenosti v praxi, témata jsou aktuální a dle intenzivně se měnící legislativy podle nových právních norem.;Mgr. Klára Tesařová;739 322 341;tesarova@goaml.cz;Gymnázium a obchodní akademie Mariánské Lázně, příspěvková organizace;Ruská 355/7, 35301 Mariánské Lázně;https://www.asociace-oa.cz/category/ekonomicky-tym/
FIRST LEGO League;STEM Masters, z. s.;FIRST LEGO League je globální vzdělávací soutěž zaměřená na podporu zájmu dětí a mládeže ve věku 6 až 16 let o obory STEM (věda, technologie, inženýrství, matematika). Program spojuje praktické zkušenosti s LEGO stavebnicemi a technologií robotiky, poskytujíc kreativní platformu pro rozvoj dovedností v oblasti programování, mechanického designu a výzkumu. Každoročně je vyhlášeno téma, které reflektuje aktuální globální problémy, vybízí týmy k inovacím a hledání řešení skutečných výzev. Význam STEM vzdělávání je v dnešním technologicky pokročilém světě nepopiratelný. Programy jako FIRST LEGO League posilují základní technické dovednosti, podporují kritické myšlení a řešení problémů. Účastníci se učí nejen konstruovat a programovat roboty, ale také pracovat v týmu, komunikovat a prezentovat své nápady. Tím program připravuje mladé lidi na budoucí kariéry v rychle se vyvíjejících oborech a podporuje rozvoj potřebných soft skills.;20;oborová;x;únor - březen 2026;březen 2026;Ano;Ano;Soutěž FIRST LEGO League (FLL) je program, který úzce navazuje na Rámcový vzdělávací program (RVP) a podporuje novou informatiku tímto způsobem: -Integrace do RVP: Soutěž FLL byla navržena tak, aby se zapojila do vzdělávacího procesu, a to prostřednictvím aktivit, které jsou v souladu s cíli a obsahem RVP. Soutěž podporuje rozvoj klíčových dovedností a kompetencí, které jsou definovány v RVP, jako jsou kritické myšlení, týmová spolupráce, řešení problémů a kreativita. -Vývoj dovedností v oblasti nové informatiky: Soutěž FLL zahrnuje konstrukci a programování robotů s použitím LEGO stavebnic a programovacího prostředí. Tím se studenti učí základy programování, algoritmizace a automatizace, což jsou klíčové dovednosti v oblasti nové informatiky. Soutěž tak poskytuje praktické zkušenosti a motivaci k rozvoji těchto dovedností. -Interdisciplinární přístup/mezipředmětové vztahy: Soutěž FLL podporuje interdisciplinární přístup k vzdělávání tím, že kombinuje prvky vědy, technologie, inženýrství a matematiky (STEM) s praktickým řešením problémů a programováním. Tímto způsobem podněcuje studenty k propojení znalostí z různých oblastí a k jejich aplikaci ve výzkumu a projektovém řešení. -Řešení reálných problémů: Každoroční téma soutěže FLL se týká konkrétního společenského problému, který studenti mají za úkol analyzovat a navrhnout řešení. Tím se podporuje myšlenka aplikace technologických dovedností k řešení reálných problémů, což je důležitý aspekt vzdělávání v oblasti nové informatiky. Celkově lze říci, že soutěž FIRST LEGO League poskytuje studentům příležitost spojit teoretické znalosti a praktické dovednosti v oblasti nové informatiky, což je v souladu s moderním vzdělávacím přístupem a cíli stanovenými v RVP. Soutěž podporuje rozvoj komplexních dovedností a digitálních kompetence žáků, které jsou důležité pro budoucí pracovní trh a technologický rozvoj naše společnosti.;Ing. Miroslav Pecina;608 609 953;pecina.miroslav@gmail.com;STEM Masters, z. .s.;Sokolovská 444/118, 186 00 Praha 8 - Karlín;www.firstlegoleague.cz
Mezinárodní programátorská soutěž Baltie 2026;SGP Systém, s. r. o.;"Soutěž ""Baltie"" je mezinárodní soutěž v programování v jazyku Baltík. Soutěž je určena pro žáky obou stupňů základních škol, víceletých gymnázií, studentů středních škol a dětí z organizací pracujících s dětmi (DDM, KDM apod.).";24;oborová;březen 2026;duben 2026;29. května 2026;Ano;Ne;navazuje na předmět Informatika, modul Algoritmizace a programování, podle poslední revize RVP ZV;Ing. Bohumír Soukup;608 732 456;sgp@sgp.cz;SGP Systems, s. r. o.;Bedřicha Buchlovana 873;www.baltie.net
Celostátní finále dějepisné olympiády pro žáky ZŠ a SŠ;Univerzita Hradec Králové;Soutěžní akce určená pro vybrané žáky základních a středních škol – vítěze krajských, okresních a místních kol. Soutěž probíhá ve dvou samostatných kategoriích dle věkových skupin. Účastníci si ověřují nejen své historické znalosti, ale také schopnost porozumět a reflektovat aktuální společenské a politické souvislosti.;55;oborová;12. - 14. ledna 2026;30. - 31. března 2026;20. - 21. květen 2026;Ne;Ano;Dějepisná olympiáda významně přispívá k naplňování cílů revidovaného RVP ZV, zejména v oblasti vzdělávací oblasti Člověk a společnost. Rozvíjí a prohlubuje znalosti žáků základních i středních škol, zároveň však klade důraz na rozvoj širokého spektra klíčových kompetencí, včetně kompetence k učení, řešení problémů, komunikativní, občanské, sociální a personální i digitální. Soutěž podporuje samostatnou práci s informacemi, kritické myšlení a schopnost orientace v různých typech historických pramenů a současných souvislostech. Účastníci si osvojují badatelské dovednosti, které využívají při zpracování soutěžních témat. Celostátní kolo soutěže navíc reflektuje klíčová průřezová témata RVP. V aktuálním ročníku se navíc zaměříme na genderovou problematiku, konkrétně na proměny vztahu mezi mužem a ženou v dějinách.;Mgr. Tamara Tomanová, PhD.;608 240 990;tomanta1@uhk.cz;Univerzita Hradec Králové;Rokitanského 62/26, 500 03 Hradec Králové;www.dejepisnaolympiada.cz
Logická olympiáda 2025;Mensa Česko;Soutěž je založená na logických úlohách, jejichž řešení vyžaduje samostatný a kreativní přístup. Nerozhodují zde naučené znalosti, ale schopnost samostatného uvažování a pohotového rozhodování.;18;oborová;28. listopadu 2025;7. listopadu 2025;8. prosince 2025;Ne;Ano;V rámci vytváření podmínek pro rozvoj talentu v zájmovém a neformálním vzdělávání pracujeme dlouhodobě a systematicky s talentovanými dětmi a mládeží s cílem stimulovat maximální rozvoj a plné využití potenciálu včetně rozvoje jejich tvořivosti.;Mgr. Lucie Měchurová;777 141 975;lucie.mechurova@mensa.cz;Mensa Česko;Španielova 1111/19, Praha 6, 163 00;www.logickaolympiada.cz
